,name,isbn,rating,book_id,format_id,category_id
0,'This is Going to Hurt',9781509858637,5,1,1,1
1,"'Thinking, Fast and Slow'",9780141033570,4,2,1,1
2,'When Breath Becomes Air',9781784701994,5,3,1,1
3,'The Happiness Trap',9781845298258,4,4,1,1
4,'Man's Search For Meaning',9781846041242,5,5,1,1
5,'The Man Who Mistook His Wife for a Hat',9780330523622,4,6,1,1
6,'The 8-week Blood Sugar Diet',9781780722405,4,7,1,1
7,'The Clever Guts Diet',9781780723044,4,8,1,1
8,'12 Rules for Life',9780241351642,4,9,1,1
9,'Being Mortal',9781846685828,5,10,1,1
10,'Gut',9781925228601,4,11,1,1
11,'The Brain That Changes Itself',9780141038872,4,12,1,1
12,'Medical Medium Liver Rescue',9781401954406,4,13,2,1
13,'Wreck This Journal',9780141976143,4,14,1,1
14,'12 Rules for Life',9780241351635,4,15,2,1
15,'12 Rules for Life',9780141988511,4,16,1,1
16,'Gut and Psychology Syndrome',9780954852023,4,17,1,1
17,'Medical Medium Thyroid Healing',9781401948368,4,18,2,1
18,'Steal Like an Artist',9780761169253,4,19,1,1
19,'Sitting Still Like A Frog',9781611800586,4,20,1,1
20,'How Not To Die',9781509852505,5,21,1,1
21,'The Whole-Brain Child',9781780338378,4,22,1,1
22,'Birth Skills',9780091922146,4,23,1,1
23,'Diagnostic and Statistical Manual of Mental Disorders (DSM-5)',9780890425558,4,24,1,1
24,'Medical Medium Celery Juice',9781401957650,4,25,2,1
25,'The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did)',9780241250990,4,26,2,1
26,'Publication Manual of the American Psychological Association',9781433805615,4,27,1,1
27,'Proof of Heaven',9781451695199,4,28,1,1
28,'The Immortal Life of Henrietta Lacks',9780330533447,4,29,1,1
29,'The Complete Guide to Asperger's Syndrome',9781843106692,4,30,1,1
30,'The Checklist Manifesto',9781846683145,4,31,1,1
31,'Do No Harm',9781780225920,4,32,1,1
32,'The Anatomy Coloring Book',9780321832016,4,33,1,1
33,'The Plant Paradox',9780062427137,4,34,2,1
34,'Wreck This Journal Everywhere',9781846148583,4,35,1,1
35,'How to Change Your Mind',9780141985138,5,36,1,1
36,'Raising an Emotionally Intelligent Child',9780684838656,4,37,1,1
37,'Allen Carr's Easy Way to Stop Smoking',9781405923316,5,38,1,1
38,'The Mindful Way through Depression',9781593851286,4,39,1,1
39,'Call The Midwife',9780753823835,4,40,1,1
40,'The Dialectical Behavior Therapy Skills Workbook',9781572245136,4,41,1,1
41,'The Reality Slap',9781780332024,4,42,1,1
42,"'The Boy Who Was Raised as a Dog, 3rd Edition'",9780465094455,5,43,1,1
43,'Strength Training Anatomy',9780736092265,5,44,1,1
44,'The Brain That Changes Itself',9780143113102,4,45,1,1
45,'Lost Ocean',9780753557150,5,46,1,1
46,'Mating in Captivity',9780060753641,4,47,1,1
47,'This is Going to Hurt',9781509858613,5,48,2,1
48,'You Are the Placebo',9781781802571,5,49,1,1
49,'Radical Acceptance',9780553380996,4,50,1,1
50,'Awakenings',9780330523677,4,51,1,1
51,'Unnatural Causes',9781405923538,5,52,1,1
52,'Oxford Handbook of Clinical Medicine',9780199689903,5,53,1,1
53,"'DBT Skills Training Manual, Second Edition'",9781462516995,5,54,1,1
54,'All Cats Have Asperger Syndrome',9781843104810,4,55,2,1
55,'Becoming Supernatural',9781401953119,5,56,1,1
56,'Anatomy Trains',9780702046544,5,57,1,1
57,'Hallucinations',9781447208266,4,58,1,1
58,'Loving What Is',9781400045372,4,59,1,1
59,'An Introductory Guide to Anatomy & Physiology',9781903348345,4,60,1,1
60,'The Body Keeps the Score',9780143127741,5,61,1,1
61,'The Muscular System Anatomical Chart',9781587790362,4,62,3,1
62,'Rewire Your Anxious Brain',9781626251137,4,63,1,1
63,'Shadows Of The Workhouse',9780753825853,4,64,1,1
