,category_id,name
0,1,Medical
1,2,Science-Geography
2,3,Art-Photography
3,4,Biography
4,5,Business-Finance-Law
5,6,Childrens-Books
6,7,Computing
7,8,Crafts-Hobbies
8,9,Crime-Thriller
9,10,Dictionaries-Languages
10,11,Entertainment
11,12,Food-Drink
12,13,Graphic-Novels-Anime-Manga
13,14,Health
14,15,History-Archaeology
15,16,Home-Garden
16,17,Humour
17,18,Mind-Body-Spirit
18,19,Natural-History
19,20,Personal-Development
20,21,Poetry-Drama
21,22,Reference
22,23,Religion
23,24,Romance
24,25,Science-Fiction-Fantasy-Horror
25,26,Society-Social-Sciences
26,27,Sport
27,28,Stationery
28,29,Teaching-Resources-Education
29,30,Technology-Engineering
30,31,Teen-Young-Adult
31,32,Transport
32,33,Travel-Holiday-Guides
